datetime,temperature_C
2023-10-17T08:54:00Z,43.5
2023-10-17T08:58:00Z,42.7
2023-10-17T09:04:00Z,43.8
2023-10-17T09:08:00Z,42.9
2023-10-17T09:24:00Z,43.2
2023-10-17T09:28:00Z,44.8
2023-10-17T09:34:00Z,43.7
2023-10-17T09:38:00Z,42.6
2023-10-17T09:44:00Z,43.4
2023-10-17T09:48:00Z,45.4
2023-10-17T09:54:00Z,47.3
2023-10-17T10:02:00Z,50.2
2023-10-17T10:08:00Z,50.9
2023-10-17T10:12:00Z,52
2023-10-17T10:18:00Z,53.6
2023-10-17T10:22:00Z,55
2023-10-17T10:28:00Z,54.5
2023-10-17T10:32:00Z,53.6
2023-10-17T10:38:00Z,54
2023-10-17T10:42:00Z,53.5
2023-10-17T10:52:00Z,55.2
2023-10-17T10:56:00Z,55.2
2023-10-17T11:02:00Z,58.7
2023-10-17T11:08:00Z,60
2023-10-17T11:12:00Z,59.5
2023-10-17T11:22:00Z,61.4
2023-10-17T11:38:00Z,61.9
2023-10-17T11:42:00Z,61.4
2023-10-17T11:48:00Z,62.2
2023-10-17T11:52:00Z,63.6
2023-10-17T11:58:00Z,63.2
2023-10-17T12:02:00Z,62.2
2023-10-17T12:08:00Z,63
2023-10-17T12:12:00Z,62.6
2023-10-17T12:18:00Z,61.2
2023-10-17T12:28:00Z,63.6
2023-10-17T12:38:00Z,62.6
2023-10-17T12:48:00Z,64.4
2023-10-17T12:52:00Z,62.8
2023-10-17T13:02:00Z,61.4
2023-10-17T13:08:00Z,63
2023-10-17T13:12:00Z,61.4
2023-10-17T13:18:00Z,61.9
2023-10-17T13:22:00Z,59.9
2023-10-17T13:28:00Z,58.4
2023-10-17T13:32:00Z,57.5
2023-10-17T13:38:00Z,56.2
2023-10-17T13:48:00Z,56.8
2023-10-17T13:52:00Z,55.2
2023-10-17T13:56:00Z,55.2
2023-10-17T13:58:00Z,56
2023-10-17T14:02:00Z,54.7
2023-10-17T14:06:00Z,54.9
2023-10-17T14:18:00Z,53
2023-10-17T14:28:00Z,50.5
2023-10-17T14:32:00Z,50.8
2023-10-17T14:38:00Z,49.5
2023-10-17T14:42:00Z,48.8
2023-10-17T14:48:00Z,47.5
2023-10-17T14:52:00Z,46.7
2023-10-17T15:06:00Z,42.5
2023-10-17T15:12:00Z,41.1
2023-10-17T15:16:00Z,41.7
2023-10-17T15:22:00Z,41.9
2023-10-17T15:26:00Z,40.2
2023-10-17T15:32:00Z,40.6
2023-10-17T15:36:00Z,41
2023-10-17T15:42:00Z,39.2
2023-10-17T15:46:00Z,39.3
2023-10-17T15:52:00Z,39.6
2023-10-17T15:56:00Z,39.8
2023-10-17T16:02:00Z,38.5
2023-10-17T16:06:00Z,37.2
2023-10-17T16:12:00Z,36.1
2023-10-17T16:16:00Z,36.5
2023-10-17T16:22:00Z,36.8
